,Unnamed: 0,timestamp,location,price,loyaltynum
0,167,01/14/2014,Brew've Been Served,14.67,L2247
2,169,01/14/2014,Brew've Been Served,14.04,L9406
3,170,01/14/2014,Brew've Been Served,9.53,L2343
6,173,01/14/2014,Brew've Been Served,16.39,L4034
9,176,01/14/2014,Brew've Been Served,11.53,L6110
39,935,01/14/2014,Brew've Been Served,6.45,L1485
60,956,01/14/2014,Brew've Been Served,11.94,L5259
63,959,01/14/2014,Brew've Been Served,8.24,L3800
72,968,01/14/2014,Brew've Been Served,3.66,L8148
76,972,01/14/2014,Brew've Been Served,3.21,L3572
78,974,01/14/2014,Brew've Been Served,10.96,L2490
99,995,01/14/2014,Brew've Been Served,16.53,L3259
104,1000,01/14/2014,Brew've Been Served,12.31,L9363
112,1008,01/14/2014,Brew've Been Served,5.87,L7291
114,1010,01/14/2014,Brew've Been Served,4.72,L8566
117,1013,01/14/2014,Brew've Been Served,7.31,L9254
