,Unnamed: 0,timestamp,location,price,loyaltynum
9,230,01/16/2014,Hippokampos,13.05,L6267
30,1118,01/16/2014,Hippokampos,31.14,L7783
33,1121,01/16/2014,Hippokampos,10.55,L3191
35,1123,01/16/2014,Hippokampos,20.84,L4164
37,1125,01/16/2014,Hippokampos,36.17,L6267
41,1129,01/16/2014,Hippokampos,16.53,L1682
46,1134,01/16/2014,Hippokampos,10.38,L5947
54,1142,01/16/2014,Hippokampos,17.66,L2070
55,1143,01/16/2014,Hippokampos,14.89,L4149
56,1144,01/16/2014,Hippokampos,29.13,L4149
69,1157,01/16/2014,Hippokampos,29.93,L5553
72,1160,01/16/2014,Hippokampos,34.0,L3366
119,1207,01/16/2014,Hippokampos,18.18,L9254
