,Unnamed: 0,timestamp,location,price,loyaltynum
16,237,01/16/2014,Guy's Gyros,36.48,L8328
26,1114,01/16/2014,Guy's Gyros,10.27,L5777
47,1135,01/16/2014,Guy's Gyros,31.48,L6119
51,1139,01/16/2014,Guy's Gyros,32.8,L3014
57,1145,01/16/2014,Guy's Gyros,11.31,L6544
64,1152,01/16/2014,Guy's Gyros,29.7,L5259
66,1154,01/16/2014,Guy's Gyros,25.57,L3800
75,1163,01/16/2014,Guy's Gyros,13.48,L8148
76,1164,01/16/2014,Guy's Gyros,30.76,L8148
83,1171,01/16/2014,Guy's Gyros,8.31,L2490
110,1198,01/16/2014,Guy's Gyros,28.27,L9363
114,1202,01/16/2014,Guy's Gyros,31.31,L7291
117,1205,01/16/2014,Guy's Gyros,37.8,L8566
