,Unnamed: 0,timestamp,location,price,loyaltynum
7,254,01/17/2014,Hippokampos,38.21,L9018
9,256,01/17/2014,Hippokampos,23.54,L6267
17,264,01/17/2014,Hippokampos,19.76,L6417
29,1216,01/17/2014,Hippokampos,12.86,L3191
32,1219,01/17/2014,Hippokampos,11.93,L4164
43,1230,01/17/2014,Hippokampos,8.92,L5947
47,1234,01/17/2014,Hippokampos,10.14,L3014
50,1237,01/17/2014,Hippokampos,14.93,L2070
64,1251,01/17/2014,Hippokampos,28.35,L5553
69,1256,01/17/2014,Hippokampos,15.77,L8148
83,1270,01/17/2014,Hippokampos,52.31,L3288
103,1290,01/17/2014,Hippokampos,14.57,L8566
106,1293,01/17/2014,Hippokampos,38.19,L6886
