,Unnamed: 0,timestamp,location,price,loyaltynum
11,258,01/17/2014,Guy's Gyros,15.12,L2343
12,259,01/17/2014,Guy's Gyros,21.1,L6417
31,1218,01/17/2014,Guy's Gyros,8.64,L4164
39,1226,01/17/2014,Guy's Gyros,39.14,L1485
40,1227,01/17/2014,Guy's Gyros,8.54,L1485
60,1247,01/17/2014,Guy's Gyros,8.31,L5259
68,1255,01/17/2014,Guy's Gyros,19.68,L8148
73,1260,01/17/2014,Guy's Gyros,22.18,L2490
74,1261,01/17/2014,Guy's Gyros,37.55,L2490
75,1262,01/17/2014,Guy's Gyros,15.4,L2169
94,1281,01/17/2014,Guy's Gyros,16.83,L9363
100,1287,01/17/2014,Guy's Gyros,29.71,L7291
102,1289,01/17/2014,Guy's Gyros,35.1,L8566
