,Unnamed: 0,timestamp,location,price,loyaltynum
0,247,01/17/2014,Brew've Been Served,11.69,L2247
1,248,01/17/2014,Brew've Been Served,8.07,L9406
5,252,01/17/2014,Brew've Been Served,18.15,L4034
6,253,01/17/2014,Brew've Been Served,14.58,L6110
38,1225,01/17/2014,Brew've Been Served,3.09,L1485
58,1245,01/17/2014,Brew've Been Served,15.46,L5259
61,1248,01/17/2014,Brew've Been Served,12.56,L3800
70,1257,01/17/2014,Brew've Been Served,11.04,L3572
72,1259,01/17/2014,Brew've Been Served,13.66,L2490
89,1276,01/17/2014,Brew've Been Served,16.62,L3259
93,1280,01/17/2014,Brew've Been Served,5.29,L9363
98,1285,01/17/2014,Brew've Been Served,12.3,L7291
101,1288,01/17/2014,Brew've Been Served,19.39,L8566
105,1292,01/17/2014,Brew've Been Served,10.52,L9254
