,Unnamed: 0,timestamp,location,price,loyaltynum
1,134,01/12/2014,Hippokampos,29.2,L6417
11,786,01/12/2014,Hippokampos,31.99,L5777
12,787,01/12/2014,Hippokampos,66.63,L7783
13,788,01/12/2014,Hippokampos,78.21,L3191
15,790,01/12/2014,Hippokampos,63.32,L4164
19,794,01/12/2014,Hippokampos,29.41,L5947
21,796,01/12/2014,Hippokampos,8.54,L6119
25,800,01/12/2014,Hippokampos,26.79,L2070
27,802,01/12/2014,Hippokampos,27.15,L4149
29,804,01/12/2014,Hippokampos,12.57,L4424
34,809,01/12/2014,Hippokampos,49.23,L3366
39,814,01/12/2014,Hippokampos,12.55,L9637
50,825,01/12/2014,Hippokampos,52.21,L5224
