,Unnamed: 0,timestamp,location,price,loyaltynum
9,153,01/13/2014,Guy's Gyros,21.03,L6110
12,156,01/13/2014,Guy's Gyros,38.07,L6417
15,159,01/13/2014,Guy's Gyros,36.87,L8328
20,164,01/13/2014,Guy's Gyros,19.77,L2247
42,848,01/13/2014,Guy's Gyros,27.49,L5947
54,860,01/13/2014,Guy's Gyros,33.48,L6544
55,861,01/13/2014,Guy's Gyros,37.5,L6544
62,868,01/13/2014,Guy's Gyros,15.84,L5259
64,870,01/13/2014,Guy's Gyros,36.89,L3800
78,884,01/13/2014,Guy's Gyros,28.57,L3572
88,894,01/13/2014,Guy's Gyros,37.37,L9637
101,907,01/13/2014,Guy's Gyros,12.76,L9363
109,915,01/13/2014,Guy's Gyros,20.47,L8566
112,918,01/13/2014,Guy's Gyros,22.34,L9254
114,920,01/13/2014,Guy's Gyros,29.25,L6886
