,Unnamed: 0,timestamp,location,price,loyaltynum
8,152,01/13/2014,Hippokampos,14.04,L4034
14,158,01/13/2014,Hippokampos,26.96,L9406
21,165,01/13/2014,Hippokampos,32.29,L6417
24,830,01/13/2014,Hippokampos,30.51,L5777
28,834,01/13/2014,Hippokampos,31.59,L7783
37,843,01/13/2014,Hippokampos,35.73,L1682
50,856,01/13/2014,Hippokampos,31.47,L2070
65,871,01/13/2014,Hippokampos,31.97,L3800
67,873,01/13/2014,Hippokampos,25.09,L5553
84,890,01/13/2014,Hippokampos,17.17,L2169
104,910,01/13/2014,Hippokampos,39.63,L5224
113,919,01/13/2014,Hippokampos,39.9,L9254
115,921,01/13/2014,Hippokampos,29.22,L6886
