,Unnamed: 0,timestamp,location,price,loyaltynum
4,1353,01/19/2014,Guy's Gyros,20.94,L1485
10,1359,01/19/2014,Guy's Gyros,36.87,L6544
12,1361,01/19/2014,Guy's Gyros,65.21,L3800
18,1367,01/19/2014,Guy's Gyros,40.36,L8148
20,1369,01/19/2014,Guy's Gyros,58.35,L2490
22,1371,01/19/2014,Guy's Gyros,31.94,L2169
27,1376,01/19/2014,Guy's Gyros,23.21,L3288
31,1380,01/19/2014,Guy's Gyros,39.6,L9363
33,1382,01/19/2014,Guy's Gyros,25.79,L2459
36,1385,01/19/2014,Guy's Gyros,37.48,L7291
39,1388,01/19/2014,Guy's Gyros,18.08,L9254
