,Unnamed: 0,timestamp,location,price,loyaltynum
0,26,01/07/2014,Brew've Been Served,12.74,L2247
3,29,01/07/2014,Brew've Been Served,4.39,L4034
4,30,01/07/2014,Brew've Been Served,11.91,L9406
7,33,01/07/2014,Brew've Been Served,17.4,L2343
9,35,01/07/2014,Brew've Been Served,15.66,L6110
61,413,01/07/2014,Brew've Been Served,5.08,L3800
73,425,01/07/2014,Brew've Been Served,11.92,L3572
74,426,01/07/2014,Brew've Been Served,9.06,L2490
79,431,01/07/2014,Brew've Been Served,3.0,L2169
99,451,01/07/2014,Brew've Been Served,14.49,L3259
105,457,01/07/2014,Brew've Been Served,7.74,L9363
114,466,01/07/2014,Brew've Been Served,18.53,L7291
