,Unnamed: 0,timestamp,location,price,loyaltynum
22,48,01/07/2014,Guy's Gyros,23.12,L2247
31,383,01/07/2014,Guy's Gyros,10.11,L3191
40,392,01/07/2014,Guy's Gyros,22.33,L1485
43,395,01/07/2014,Guy's Gyros,34.09,L5947
60,412,01/07/2014,Guy's Gyros,14.87,L5259
62,414,01/07/2014,Guy's Gyros,22.25,L3800
64,416,01/07/2014,Guy's Gyros,12.57,L5553
70,422,01/07/2014,Guy's Gyros,11.31,L8148
75,427,01/07/2014,Guy's Gyros,31.23,L2490
111,463,01/07/2014,Guy's Gyros,29.57,L5224
117,469,01/07/2014,Guy's Gyros,38.56,L9254
118,470,01/07/2014,Guy's Gyros,9.76,L9254
