,Unnamed: 0,timestamp,location,price,loyaltynum
1,102,01/10/2014,Brew've Been Served,4.88,L9406
4,105,01/10/2014,Brew've Been Served,5.91,L2247
6,107,01/10/2014,Brew've Been Served,14.36,L6110
35,679,01/10/2014,Brew've Been Served,14.45,L1485
52,696,01/10/2014,Brew've Been Served,3.03,L5259
54,698,01/10/2014,Brew've Been Served,3.44,L3800
62,706,01/10/2014,Brew've Been Served,15.85,L8148
68,712,01/10/2014,Brew've Been Served,5.89,L3572
69,713,01/10/2014,Brew've Been Served,5.01,L2490
71,715,01/10/2014,Brew've Been Served,12.64,L2169
83,727,01/10/2014,Brew've Been Served,13.32,L3259
89,733,01/10/2014,Brew've Been Served,5.31,L9363
95,739,01/10/2014,Brew've Been Served,17.25,L8566
99,743,01/10/2014,Brew've Been Served,10.72,L9254
