,Unnamed: 0,timestamp,location,price,loyaltynum
10,111,01/10/2014,Guy's Gyros,38.15,L6110
12,113,01/10/2014,Guy's Gyros,16.34,L8328
19,120,01/10/2014,Guy's Gyros,25.81,L2247
25,669,01/10/2014,Guy's Gyros,31.5,L3191
33,677,01/10/2014,Guy's Gyros,15.93,L1682
46,690,01/10/2014,Guy's Gyros,31.05,L4149
56,700,01/10/2014,Guy's Gyros,26.68,L3800
63,707,01/10/2014,Guy's Gyros,26.76,L8148
64,708,01/10/2014,Guy's Gyros,23.61,L8148
90,734,01/10/2014,Guy's Gyros,29.81,L9363
92,736,01/10/2014,Guy's Gyros,36.44,L5224
96,740,01/10/2014,Guy's Gyros,27.78,L8566
