,Unnamed: 0,timestamp,location,price,loyaltynum
9,9,01/06/2014,Hippokampos,34.03,L6267
12,12,01/06/2014,Hippokampos,36.54,L1107
15,15,01/06/2014,Hippokampos,38.25,L2343
16,16,01/06/2014,Hippokampos,30.88,L9406
23,23,01/06/2014,Hippokampos,24.41,L6417
30,288,01/06/2014,Hippokampos,21.33,L7783
35,293,01/06/2014,Hippokampos,17.27,L4164
47,305,01/06/2014,Hippokampos,8.64,L3014
48,306,01/06/2014,Hippokampos,26.8,L3014
50,308,01/06/2014,Hippokampos,20.61,L2070
52,310,01/06/2014,Hippokampos,35.34,L4149
68,326,01/06/2014,Hippokampos,25.5,L3366
113,371,01/06/2014,Hippokampos,13.26,L8566
