,Unnamed: 0,timestamp,location,price,loyaltynum
0,0,01/06/2014,Brew've Been Served,4.17,L2247
1,1,01/06/2014,Brew've Been Served,9.6,L9406
5,5,01/06/2014,Brew've Been Served,4.27,L4034
6,6,01/06/2014,Brew've Been Served,11.2,L6110
7,7,01/06/2014,Brew've Been Served,15.39,L2343
41,299,01/06/2014,Brew've Been Served,18.24,L1485
59,317,01/06/2014,Brew've Been Served,8.88,L5259
62,320,01/06/2014,Brew've Been Served,4.24,L3800
70,328,01/06/2014,Brew've Been Served,8.33,L8148
79,337,01/06/2014,Brew've Been Served,14.97,L3572
80,338,01/06/2014,Brew've Been Served,3.67,L2490
86,344,01/06/2014,Brew've Been Served,15.58,L2169
101,359,01/06/2014,Brew've Been Served,12.83,L3259
106,364,01/06/2014,Brew've Been Served,5.66,L9363
110,368,01/06/2014,Brew've Been Served,16.9,L7291
112,370,01/06/2014,Brew've Been Served,11.34,L8566
115,373,01/06/2014,Brew've Been Served,10.68,L9254
