,Unnamed: 0,timestamp,location,price,loyaltynum
29,287,01/06/2014,Guy's Gyros,15.44,L7783
32,290,01/06/2014,Guy's Gyros,30.82,L3191
54,312,01/06/2014,Guy's Gyros,15.29,L6544
61,319,01/06/2014,Guy's Gyros,28.94,L5259
63,321,01/06/2014,Guy's Gyros,16.92,L3800
64,322,01/06/2014,Guy's Gyros,39.29,L3800
71,329,01/06/2014,Guy's Gyros,37.82,L8148
81,339,01/06/2014,Guy's Gyros,22.57,L2490
93,351,01/06/2014,Guy's Gyros,11.22,L8012
107,365,01/06/2014,Guy's Gyros,11.94,L9363
117,375,01/06/2014,Guy's Gyros,19.67,L6886
