,Unnamed: 0,timestamp,location,price,loyaltynum
14,91,01/09/2014,Guy's Gyros,27.69,L2343
22,99,01/09/2014,Guy's Gyros,8.23,L2247
27,573,01/09/2014,Guy's Gyros,14.91,L7783
41,587,01/09/2014,Guy's Gyros,13.59,L6119
42,588,01/09/2014,Guy's Gyros,8.23,L6119
55,601,01/09/2014,Guy's Gyros,35.05,L3800
57,603,01/09/2014,Guy's Gyros,15.0,L5553
64,610,01/09/2014,Guy's Gyros,29.96,L8148
70,616,01/09/2014,Guy's Gyros,18.26,L3572
77,623,01/09/2014,Guy's Gyros,31.31,L2169
98,644,01/09/2014,Guy's Gyros,17.44,L3295
113,659,01/09/2014,Guy's Gyros,25.4,L9254
114,660,01/09/2014,Guy's Gyros,31.81,L9254
