,Unnamed: 0,timestamp,location,price,loyaltynum
2,79,01/09/2014,Brew've Been Served,18.25,L2343
54,600,01/09/2014,Brew've Been Served,5.3,L3800
63,609,01/09/2014,Brew've Been Served,15.82,L8148
69,615,01/09/2014,Brew've Been Served,17.64,L3572
72,618,01/09/2014,Brew've Been Served,12.12,L2490
76,622,01/09/2014,Brew've Been Served,6.21,L2169
100,646,01/09/2014,Brew've Been Served,19.47,L9363
107,653,01/09/2014,Brew've Been Served,10.71,L7291
109,655,01/09/2014,Brew've Been Served,5.13,L8566
112,658,01/09/2014,Brew've Been Served,14.85,L9254
