,Unnamed: 0,timestamp,location,price,loyaltynum
33,1025,01/15/2014,Hippokampos,35.12,L3191
36,1028,01/15/2014,Hippokampos,13.0,L6267
46,1038,01/15/2014,Hippokampos,22.61,L5947
49,1041,01/15/2014,Hippokampos,32.4,L3014
50,1042,01/15/2014,Hippokampos,16.37,L3014
52,1044,01/15/2014,Hippokampos,36.7,L2070
55,1047,01/15/2014,Hippokampos,10.35,L4149
69,1061,01/15/2014,Hippokampos,21.14,L3366
82,1074,01/15/2014,Hippokampos,38.23,L2169
108,1100,01/15/2014,Hippokampos,37.16,L5224
113,1105,01/15/2014,Hippokampos,38.89,L7291
