,Unnamed: 0,timestamp,location,price,loyaltynum
1,195,01/15/2014,Brew've Been Served,3.14,L9406
2,196,01/15/2014,Brew've Been Served,8.42,L2247
3,197,01/15/2014,Brew've Been Served,5.75,L6110
7,201,01/15/2014,Brew've Been Served,3.47,L2343
41,1033,01/15/2014,Brew've Been Served,15.58,L1485
61,1053,01/15/2014,Brew've Been Served,6.58,L5259
64,1056,01/15/2014,Brew've Been Served,3.71,L3800
71,1063,01/15/2014,Brew've Been Served,15.5,L8148
73,1065,01/15/2014,Brew've Been Served,11.23,L3572
75,1067,01/15/2014,Brew've Been Served,14.06,L2490
80,1072,01/15/2014,Brew've Been Served,9.7,L2169
102,1094,01/15/2014,Brew've Been Served,11.47,L3259
106,1098,01/15/2014,Brew've Been Served,18.58,L9363
111,1103,01/15/2014,Brew've Been Served,19.87,L7291
114,1106,01/15/2014,Brew've Been Served,4.92,L8566
