,Unnamed: 0,timestamp,location,price,loyaltynum
1,52,01/08/2014,Brew've Been Served,3.09,L9406
4,55,01/08/2014,Brew've Been Served,14.88,L2247
5,56,01/08/2014,Brew've Been Served,8.4,L4034
6,57,01/08/2014,Brew've Been Served,3.92,L2343
8,59,01/08/2014,Brew've Been Served,11.48,L6110
43,491,01/08/2014,Brew've Been Served,12.92,L1485
62,510,01/08/2014,Brew've Been Served,17.13,L5259
64,512,01/08/2014,Brew've Been Served,3.42,L3800
72,520,01/08/2014,Brew've Been Served,8.27,L8148
74,522,01/08/2014,Brew've Been Served,7.26,L3572
75,523,01/08/2014,Brew've Been Served,11.87,L2490
80,528,01/08/2014,Brew've Been Served,6.3,L2169
102,550,01/08/2014,Brew've Been Served,13.68,L3259
108,556,01/08/2014,Brew've Been Served,10.15,L9363
111,559,01/08/2014,Brew've Been Served,19.17,L7291
114,562,01/08/2014,Brew've Been Served,12.3,L8566
116,564,01/08/2014,Brew've Been Served,15.66,L9254
