,Unnamed: 0,timestamp,location,price,loyaltynum
24,75,01/08/2014,Hippokampos,16.75,L6417
26,474,01/08/2014,Hippokampos,39.8,L5777
30,478,01/08/2014,Hippokampos,10.52,L7783
33,481,01/08/2014,Hippokampos,28.79,L3191
35,483,01/08/2014,Hippokampos,26.31,L4164
41,489,01/08/2014,Hippokampos,16.59,L1682
49,497,01/08/2014,Hippokampos,16.54,L5947
53,501,01/08/2014,Hippokampos,12.62,L3014
54,502,01/08/2014,Hippokampos,26.55,L2070
55,503,01/08/2014,Hippokampos,15.64,L2070
57,505,01/08/2014,Hippokampos,37.89,L4149
70,518,01/08/2014,Hippokampos,32.66,L3366
115,563,01/08/2014,Hippokampos,9.03,L8566
120,568,01/08/2014,Hippokampos,18.99,L6886
